product_id,name,brand,category,price,unit_price,unit_price_qt,currency,timestamp,is_offer
9398,"Vårløk i Bunt Italia / Tyskland / Egypt, 150 g",,Grønnsaker,29.9,199.33,kilogram,NOK,2026-03-03T13:10:31.424Z,false
9299,"Stor Søtpotet Egypt / Spania, 1 stk",,Grønnsaker,15.1,46.59,kilogram,NOK,2026-03-03T13:10:33.441Z,false
27016,"Paprika Rød Vår Laveste Pris, Spania / Nederland, 600 g",,Grønnsaker,53.9,89.83,kilogram,NOK,2026-03-03T13:10:33.444Z,false
29663,"Asparges i Bunt Marokko / Peru, 250 g",,Grønnsaker,41.5,166,kilogram,NOK,2026-03-03T13:10:33.445Z,true
26254,"Avokado Snart Moden Vår laveste Pris ca 7 stk, Colombia/ Marokko",,Grønnsaker,71.3,94.1,kilogram,NOK,2026-03-03T13:10:33.446Z,false
22471,"Minimais Ferske, Kenya / Thailand, 125 g",,Grønnsaker,34.8,278.4,kilogram,NOK,2026-03-03T13:10:33.447Z,false
27626,"Stor Paprika Rød 2/3 stk Marokko / Spania, 2 stk",,Grønnsaker,38.9,114.41,kilogram,NOK,2026-03-03T13:10:33.447Z,false
9371,"Hvitløk 2-3pk, Kina/Spania, 100 g",,Grønnsaker,9.9,99,kilogram,NOK,2026-03-03T13:10:33.448Z,false
23923,"Økologisk Avokado Spania / Kenya, 2 stk",,Økologisk frukt og grønt,44,169.23,kilogram,NOK,2026-03-03T13:10:33.449Z,false
40162,"Liten Søtpotet Maks 3 til nedsatt pris, Spania / Egypt, 1 stk",,Grønnsaker,4.4,20,kilogram,NOK,2026-03-03T13:10:33.450Z,true
19447,"Økologiske Cherrytomater Spania / Danmark, 250 g",,Økologisk frukt og grønt,47.9,191.6,kilogram,NOK,2026-03-03T13:10:33.450Z,true
23551,"Gresskar Butternut Portugal / Spania, 750 g",,Grønnsaker,42.9,57.2,kilogram,NOK,2026-03-03T13:10:33.451Z,false
22483,"Gulrot i Staver Norge, 180 g",Huseby Gaard,Grønnsaker,27.3,151.67,kilogram,NOK,2026-03-03T13:10:33.451Z,false
10040,"Purreløk Norge, 1 stk",,Grønnsaker,10.8,66.11,kilogram,NOK,2026-03-03T13:10:33.452Z,false
